(1,1,0.9999999999999998)
(1,2,0.19506857866021765)
(1,3,0.6061149419615591)
(1,4,0.7467286566323438)
(1,5,-0.13315005718713654)
(1,6,0.7043607250604991)
(1,7,0.4082482904638631)
(1,8,0.0)
(1,9,0.5564866749122019)
(1,10,0.2689333827834945)
(2,1,0.19506857866021765)
(2,2,1.0)
(2,3,0.04894693448830474)
(2,4,0.3121472367904247)
(2,5,0.48724823373041165)
(2,6,-0.5594026590568876)
(2,7,0.3303360556061336)
(2,8,0.2164028666650702)
(2,9,0.7130632104547268)
(2,10,-0.060725193773340645)
(3,1,0.6061149419615591)
(3,2,0.04894693448830474)
(3,3,1.0)
(3,4,0.7970795542938615)
(3,5,-0.05707352953442433)
(3,6,0.0872797785719991)
(3,7,0.181608178073037)
(3,8,-0.1728932390309588)
(3,9,0.40728354385350946)
(3,10,-0.3981347236790418)
(4,1,0.7467286566323438)
(4,2,0.3121472367904247)
(4,3,0.7970795542938615)
(4,4,1.0)
(4,5,-0.04750168687962835)
(4,6,0.34977965041189135)
(4,7,-0.3244428422615251)
(4,8,0.1467418177209373)
(4,9,0.42053403500557573)
(4,10,-0.11776030079682893)
(5,1,-0.13315005718713654)
(5,2,0.48724823373041165)
(5,3,-0.05707352953442433)
(5,4,-0.04750168687962835)
(5,5,1.0)
(5,6,-0.863450999261006)
(5,7,0.30470002504620486)
(5,8,-0.6196465284817313)
(5,9,0.1969171838201808)
(5,10,-0.3976610907022515)
(6,1,0.7043607250604991)
(6,2,-0.5594026590568876)
(6,3,0.0872797785719991)
(6,4,0.34977965041189135)
(6,5,-0.863450999261006)
(6,6,1.0)
(6,7,-0.12734290799340264)
(6,8,0.6619762037264222)
(6,9,0.33571007169302497)
(6,10,0.16216852571460796)
(7,1,0.4082482904638631)
(7,2,0.3303360556061336)
(7,3,0.181608178073037)
(7,4,-0.3244428422615251)
(7,5,0.30470002504620486)
(7,6,-0.12734290799340264)
(7,7,1.0000000000000002)
(7,8,-0.575649675601062)
(7,9,0.06178020632152154)
(7,10,-0.15285446012893575)
(8,1,0.0)
(8,2,0.2164028666650702)
(8,3,-0.1728932390309588)
(8,4,0.1467418177209373)
(8,5,-0.6196465284817313)
(8,6,0.6619762037264222)
(8,7,-0.575649675601062)
(8,8,1.0)
(8,9,0.48086508630928)
(8,10,0.35251370890163886)
(9,1,0.5564866749122019)
(9,2,0.7130632104547268)
(9,3,0.40728354385350946)
(9,4,0.42053403500557573)
(9,5,0.1969171838201808)
(9,6,0.33571007169302497)
(9,7,0.06178020632152154)
(9,8,0.48086508630928)
(9,9,0.9999999999999998)
(9,10,0.35479481306431004)
(10,1,0.2689333827834945)
(10,2,-0.060725193773340645)
(10,3,-0.3981347236790418)
(10,4,-0.11776030079682893)
(10,5,-0.3976610907022515)
(10,6,0.16216852571460796)
(10,7,-0.15285446012893575)
(10,8,0.35251370890163886)
(10,9,0.35479481306431004)
(10,10,1.0)
