(1,1,1.0)
(1,2,0.429714894918589)
(1,3,-0.30129417567339706)
(1,4,0.5837199108333035)
(1,5,-0.2049050050935748)
(1,6,0.2813835747909619)
(1,7,0.2963992148724524)
(1,8,0.18889572977116517)
(1,9,0.2497686968447672)
(1,10,-0.04066674811055133)
(1,11,-0.12873860904386777)
(1,12,0.46365854878668045)
(1,13,0.3018193267204677)
(1,14,0.1101734478391997)
(1,15,0.5992046484807962)
(1,16,0.0)
(1,17,0.07286951271131362)
(1,18,0.23508207438656264)
(1,19,0.010412197668010716)
(1,20,0.0)
(1,21,0.20767338260732787)
(1,22,0.07667250683411456)
(1,23,-0.021025689684040994)
(1,24,0.3938801440322539)
(1,25,-0.15908856282638642)
(1,26,-0.5011501480298778)
(1,27,-1.0000000000000002)
(1,28,-0.2631486512625769)
(1,29,0.5847317496498199)
(1,30,0.05461509169254727)
(1,31,-0.10582833378107345)
(1,32,-0.5307286492677155)
(1,33,0.05441531760817286)
(1,34,0.08564738425341095)
(1,35,-0.3497028481762708)
(1,36,0.19877205982799817)
(1,37,-0.5797169166466001)
(1,38,0.15590813656409955)
(1,39,0.39448361915203606)
(1,40,0.1256029024588985)
(1,41,-1.0000000000000002)
(1,42,0.043292036823217014)
(1,43,-0.8197173738027601)
(1,44,-0.00553804376818115)
(1,45,-0.08847430018472083)
(1,46,0.0)
(1,47,0.5897855679738078)
(1,48,0.23939229855238522)
(1,49,0.7060291228195079)
(1,50,0.0)
(1,51,-0.6856796305659038)
(1,52,0.8883853789800326)
(1,53,-0.15193735227118269)
(1,54,0.4562406959529079)
(1,55,0.19207384971442673)
(1,56,0.16667348411252805)
(1,57,0.09000136781949666)
(1,58,-0.10557197645533857)
(1,59,-0.14827773840519068)
(1,60,0.0)
(1,61,0.0)
(1,62,0.18677120944539283)
(1,63,-0.8826911978002273)
(1,64,0.5658424969124138)
(1,65,0.28715399540798275)
(1,66,0.8704579753454319)
(1,67,0.5151384134914722)
(1,68,-0.6632830888678907)
(1,69,-0.956468246990391)
(1,70,0.146778383336526)
(1,71,-0.807790947859209)
(1,72,0.8757335362011353)
(1,73,0.0653051001527259)
(1,74,-0.8609379767514764)
(1,75,-0.42403173379242226)
(1,76,-0.08628610486917505)
(1,77,0.0)
(1,78,-0.060289987267453146)
(1,79,0.0)
(1,80,0.2337432454570593)
(1,81,0.5658424969124137)
(1,82,0.4679651155104262)
(1,83,0.06273695389845844)
(1,84,-0.6177142889966187)
(1,85,-0.654705183514354)
(1,86,-1.0)
(1,87,0.1361961480054801)
(1,88,0.6391698301525705)
(1,89,0.7686078513815761)
(1,90,-0.11591630938981379)
